identity_id,anomaly_type,severity,detail,rule,mitre,remediation
ID0001,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0005,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0006,dormant_admin,HIGH,No login in 368 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0006,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0007,stale_token,MEDIUM,AWS API key not rotated in 737 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0008,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0010,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0012,stale_token,MEDIUM,AWS API key not rotated in 426 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0013,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0020,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0020,dormant_admin,HIGH,No login in 233 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0020,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0022,dormant_admin,HIGH,No login in 237 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0022,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0022,stale_token,MEDIUM,AWS API key not rotated in 854 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0022,dormant_admin_role_change,MEDIUM,"Admin inactive 237 days, with a role change on 2023-10-13. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",RULE_7,AC-2 - Account Management (dormancy review),"Confirm with HR/manager whether this is an active transition; if not, revoke admin access"
ID0027,stale_token,MEDIUM,AWS API key not rotated in 584 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0032,stale_token,MEDIUM,AWS API key not rotated in 499 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0034,dormant_admin,HIGH,No login in 193 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0034,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0035,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0035,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0036,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0040,dormant_admin,HIGH,No login in 92 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0040,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
