username,event_timestamp,event_name,platform,status,ip_address,description,direct_privileges,effective_privileges,inheritance_chain,analyst_context,confidence_level
ashley.singleton,2027-04-13 00:00:00,Console Login,Okta,Alert,10.64.65.169,Lingering session activity detected in cloud platform after HR termination date.,"SharePoint, Slack, DocuSign, Relativity",Slack,Direct Assignment,Account is deactivated in HR registry (AD disabled) but remains active in cloud infrastructure.,High
jose.williams,2027-01-23 00:00:00,Console Login,AWS IAM,Alert,10.7.47.238,Lingering session activity detected in cloud platform after HR termination date.,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Account is deactivated in HR registry (AD disabled) but remains active in cloud infrastructure.,High
ashley.mendoza,2027-01-14 00:00:00,Console Login,Okta,Alert,10.41.95.18,Lingering session activity detected in cloud platform after HR termination date.,"Jira, Slack",Jira,Direct Assignment,Account is deactivated in HR registry (AD disabled) but remains active in cloud infrastructure.,High
frank.lopez,2026-12-18 00:00:00,Console Login,Okta,Alert,10.232.1.245,Lingering session activity detected in cloud platform after HR termination date.,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",GitHub Enterprise,Direct Assignment,Account is deactivated in HR registry (AD disabled) but remains active in cloud infrastructure.,High
kenneth.larsen,2026-07-08 00:00:00,Console Login,Okta,Alert,10.161.133.53,Lingering session activity detected in cloud platform after HR termination date.,"Jira, Slack",Jira,Direct Assignment,Account is deactivated in HR registry (AD disabled) but remains active in cloud infrastructure.,High
andre.juarez,2026-06-20 15:27:12,Console Login,Okta,Success,10.67.154.41,Standard authentication flow verified.,"SharePoint, Slack, DocuSign, Relativity",Slack,Direct Assignment,No anomalies detected. Access parameters match baseline profile.,Low
svc-forget-prod,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins -> GG-Dev-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
erin.hogan,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 654 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 654 days,Medium
anthony.jones,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 280 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins -> GG-Sales-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 280 days but holds admin privilege,Medium
anthony.jones,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
rachel.shields,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 637 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 637 days,Medium
